CLIENT_ID,CUST_ID,CUST_NAME,CLIENT_NAME,CLIENT_ACT,CLIENT_LOC,PVRC_CODE,LOB,PARENT_NBR,PLAN_ID,ISO_COUNTRY_CODE,ISO_COUNTRY_DES,EMPLOYER_ASSIGNED_ID,MEMBER_ID,SUBSCRIBER_ID,MEMBER_RELN,EMP_STATUS,DOB,GENDER,FIRST_NAME,MIDDLE_NAME,LAST_NAME,ADDR_TYPE_DES,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,ZIP,PRIMARY_PHONE,EMAIL_ADDRESS,MBI,INSURANCE_NAME,INSURANCE_TYPE,EFF_DATE,TERM_DATE,INSURANCE_IND,POLICY_ID,CONSENT,CONDITION,SUP_INFO,TARGET_FLAG,EFID
111,49237,Corning Inc NON-UHC-EAP (-2),Corning Incorporated,0,0,0,0,0,0,0,0,88,88,88,88,0,88,88,88,66,88,88,88,9,88,88,88,64,52,0,0,88,88,88,0,88,52,0,0,0,88
1115,1493,Teamsters Local 251,Teamsters Local 251,0,0,6737,0,0,0,0,0,6737,6737,6737,6737,6737,6737,6737,6737,5209,6737,6737,6737,1136,6737,6737,6737,6737,2281,375,6737,6737,6737,6737,985,6737,2283,0,0,0,6737
1150,1534,Derse Inc,Derse Inc,0,0,668,0,0,0,0,0,668,668,668,668,668,668,668,668,467,668,668,668,51,668,668,668,476,415,17,668,668,668,668,59,668,415,0,0,0,668
1159,1543,EXP U.S. Sevices Inc.,EXP U.S. Sevices Inc.,0,0,1551,0,0,0,0,0,1551,1551,1551,1551,1548,1551,1551,1551,809,1551,1551,1551,254,1551,1551,1551,843,845,37,1551,1551,1551,1551,105,1551,845,0,0,0,1551
1182,46358,Syngenta INC,Syngenta,0,0,10115,0,0,0,0,0,10115,10115,10115,10115,10099,10115,10115,10115,5744,10115,10115,10115,465,10115,10115,10115,3666,3808,232,10115,10115,10115,10115,1130,10115,3808,0,0,0,10115
1198,1582,Cache Creek Casino Resort,Cache Creek Casino Resort,0,0,1807,0,0,0,0,0,1807,1807,1807,1807,1807,1807,1807,1807,503,1807,1807,1807,299,1807,1807,1807,1475,655,77,1807,1807,1807,1807,210,1807,655,0,0,0,1807
1199,1583,Delaware City Schools,Delaware City Schools,0,0,1351,0,0,0,0,0,1351,1351,1351,1351,1348,1351,1351,1351,971,1351,1351,1351,12,1351,1351,1351,844,632,34,1351,1351,1351,1351,146,1351,632,0,0,0,1351
122,129,Deere & Company,Deere & Company,0,0,78292,0,0,0,0,0,78292,78292,78292,78292,77797,78292,78292,78292,66441,78292,78292,78292,6294,78292,78292,78292,77860,36860,3208,78292,78290,78292,78292,9049,78292,36863,0,0,0,78292
1221,48925,Famous Enterprises Inc,Famous Enterprises,0,0,1094,0,0,0,0,0,1094,1094,1094,1094,1094,1094,1094,1094,798,1094,1094,1094,54,1094,1094,1094,13,488,35,1094,1094,1094,1094,57,1094,488,0,0,0,1094
1230,1614,FONAR HDM HMCA,FONAR HDM HMCA,0,0,244,0,0,0,0,0,244,244,244,244,176,244,244,244,127,244,244,244,39,244,244,244,194,164,9,244,244,244,244,21,244,164,0,0,0,244
1271,1661,Jewelers Mutual Insurance Co,Jewelers Mutual Insurance Co,0,0,924,0,0,0,0,0,924,924,924,924,892,924,924,924,436,924,924,924,90,924,924,924,469,508,11,924,924,924,924,60,924,508,0,0,0,924
129,55094,DENSO,Denso,0,0,20680,0,0,0,0,0,20680,20680,20680,20680,20664,20680,20680,20680,13792,20680,20680,20680,800,20680,20680,20680,10,8380,574,20680,20680,20680,20680,915,20680,8380,0,0,0,20680
130,143,Diamond Offshore Drilling Inc,Boardwalk Pipelines,0,0,2342,0,0,0,0,0,2342,2342,2342,2342,2340,2342,2342,2342,2012,2342,2342,2342,43,2342,2342,2342,2153,1663,39,2342,2342,2342,2342,263,2342,1663,0,0,0,2342
1316,48601,Washington State Comm Col,Washington State Community College,0,0,173,0,0,0,0,0,173,173,173,173,82,173,173,173,28,173,173,173,1,173,173,173,146,83,3,173,173,173,173,7,173,83,0,0,0,173
1339,1744,Park Place Technologies,Park Place Technologies,0,0,2656,0,0,0,0,0,2656,2656,2656,2656,2656,2656,2656,2656,1314,2656,2656,2656,217,2656,2656,2656,1355,1350,70,2656,2656,2656,2656,347,2656,1350,0,0,0,2656
134,154,Diageo North America Inc,Diageo North America Inc,0,0,4256,0,0,0,0,0,4256,4256,4256,4256,4256,4256,4256,4256,1850,4256,4256,4256,581,4256,4256,4256,2363,2185,53,4256,4256,4256,4256,358,4256,2185,0,0,0,4256
1346,1752,Meridian Behavioral Healthcare Inc,Meridian Behavioral Healthcare Inc,0,0,360,0,0,0,0,0,360,360,360,360,360,360,360,360,287,360,360,360,60,360,360,360,311,239,17,360,360,360,360,38,360,239,0,0,0,360
1352,36107,Soft Computer Consultants,Soft Computer Consultants,0,0,990,0,0,0,0,0,990,990,990,990,990,990,990,990,556,990,990,990,173,990,990,990,578,609,76,990,990,990,990,138,990,609,0,0,0,990
140,160,Baker Hughes Company,Baker Hughes Company,0,0,27025,0,0,0,0,0,27025,27025,27025,27025,27007,27025,27025,27025,11553,27025,27025,27025,1496,27025,27025,27025,17044,11711,634,27025,27025,27025,27025,2189,27025,11711,0,0,0,27023
1415,1834,Empire Comfort Systems Inc,Empire Comfort Systems Inc,0,0,245,0,0,0,0,0,245,245,245,245,240,245,245,245,154,245,245,245,15,245,245,245,102,140,15,245,245,245,245,25,245,140,0,0,0,245
142,161,Duke Energy,Duke Energy,0,0,62246,0,0,0,0,0,62246,62246,62246,62246,62246,62246,62246,62246,47708,62246,62246,62246,2576,62246,62246,62246,62019,30672,1877,62246,62246,62246,62246,5446,62246,30672,0,0,0,62246
144,164,Barnes & Noble Inc,Barnes & Noble  Inc,0,0,8936,0,0,0,0,0,8936,8936,8936,8936,8935,8936,8936,8936,4489,8936,8936,8936,1435,8936,8936,8936,8831,4970,390,8936,8936,8936,8936,813,8936,4970,0,0,0,8936
1453,42596,Stupp Bros,Stupp Bros,0,0,506,0,0,0,0,0,506,506,506,506,500,506,506,506,379,506,506,506,4,506,506,506,302,240,15,506,506,506,506,49,506,240,0,0,0,506
1495,1912,Orange County Library Systems,Orange County Library Systems,0,0,464,0,0,0,0,0,464,464,464,464,464,464,464,464,368,464,464,464,72,464,464,464,434,364,13,464,464,464,464,46,464,364,0,0,0,464
160,182,MetLife,MetLife,0,0,15986,0,0,0,0,0,15986,15982,15982,15986,15981,15986,15986,15986,7891,15986,15986,15986,812,15986,15986,15986,10347,7752,454,15986,15986,15986,15986,1381,15986,7752,0,0,0,15986
176,52030,Epson America Inc,Epson America Inc,0,0,311,0,0,0,0,0,311,311,311,311,311,311,311,311,233,311,311,311,23,311,311,311,98,199,14,311,311,311,311,28,311,199,0,0,0,311
184,207,Olin Corporation,Olin Corporation,0,0,1203,0,0,0,0,0,1203,1203,1203,1203,1203,1203,1203,1203,725,1203,1203,1203,12,1203,1203,1203,745,425,67,1203,1203,1203,1203,183,1203,425,0,0,0,1203
188,211,OSRAM,OSRAM,0,0,1652,0,0,0,0,0,1652,1652,1652,1652,1652,1652,1652,1652,1053,1652,1652,1652,62,1652,1652,1652,1346,751,75,1652,1652,1652,1652,151,1652,751,0,0,0,1652
200,226,The Interpublic Group of Companies Inc,The Interpublic Group of Companies Inc,0,0,27401,0,0,0,0,0,27401,27401,27401,27401,27276,27401,27401,27401,18437,27401,27401,27401,4653,27401,27401,27401,584,17564,1199,27401,27401,27401,27401,2396,27401,17564,0,0,0,27401
200,48505,IPG Opt-Outs,The Interpublic Group of Companies Inc,0,0,0,0,0,0,0,0,3692,3689,3689,3692,3692,3692,3692,3692,2516,3692,3692,3692,650,3692,3692,3691,0,3690,0,0,3689,3692,3692,0,3692,3690,0,0,0,3689
200,48506,IPG Kaiser,The Interpublic Group of Companies Inc,0,0,0,0,0,0,0,0,315,315,315,315,315,315,315,315,180,315,315,315,62,315,315,315,0,268,0,0,315,315,315,0,315,268,0,0,0,315
203,229,Procter & Gamble,Procter & Gamble,0,0,56266,0,0,0,0,0,56266,56266,56266,56266,56265,56266,56266,56266,39256,56266,56266,56266,4760,56266,56266,56266,51104,50198,2621,56266,56266,56266,56266,6534,56266,50198,0,0,0,56266
207,233,Turner Corporation,Turner Corporation,0,0,14786,0,0,0,0,0,14777,14786,14786,14786,14783,14786,14786,14786,10789,14786,14786,14786,1366,14786,14786,14786,8987,8333,353,14786,14786,14786,14786,1202,14786,8333,0,0,0,14786
216,241,UnitedHealth Group,Unitedhealth Group,0,0,189830,0,0,0,0,0,189830,189829,189829,189830,189812,189830,189830,189830,118173,189830,189830,189830,19150,189830,189830,189830,183509,108861,5052,189830,189821,189830,189830,10822,189830,108862,0,0,0,189826
224,249,Peter Kiewit Sons Inc,Peter Kiewit Sons Inc,0,0,38146,0,0,0,0,0,38146,38146,38146,38146,38146,38146,38146,38146,14290,38146,38146,38146,3452,38145,38146,38146,34627,38125,648,38146,38146,38146,38146,2995,38146,38125,0,0,0,38146
226,251,Pfizer Inc,Pfizer Inc,0,0,39729,0,0,0,0,0,39729,39729,39729,39729,39726,39729,39729,39729,25189,39729,39729,39729,4174,39729,39729,39729,18779,17756,2402,39729,39729,39729,39729,4276,39729,17756,0,0,0,39728
226,43314,PFIZER - HORIZON BCBS NJ - PV,Pfizer Inc,0,0,0,0,0,0,0,0,38984,38984,38984,38984,38984,38984,38984,38984,24482,38984,38984,38984,2569,38984,38984,38984,16940,0,0,0,38920,38984,38984,0,38984,0,0,0,0,38984
226,43321,PFIZER - HORIZON BCBS NJ RET - PV,Pfizer Inc,0,0,0,0,0,0,0,0,1472,1472,1472,1472,1472,1472,1472,1472,1077,1472,1472,1472,63,1472,1472,1472,903,0,0,0,1472,1472,1472,0,1472,0,0,0,0,1472
22615,26980,20 20 COMMUNICATIONS INC,20 20 COMMUNICATIONS INC,0,0,1964,0,0,0,0,0,1964,1964,1964,1964,1962,1964,1964,1964,1252,1964,1964,1964,0,1964,1964,1964,1947,961,28,1964,1964,1964,1964,247,1964,961,0,0,0,1964
22627,26994,61st Street Service Corporation,61ST STREET SERVICE CORPORATION,0,0,370,0,0,0,0,0,370,370,370,370,370,370,370,370,197,370,370,370,238,370,370,370,248,226,17,370,370,370,370,51,370,226,0,0,0,370
22665,27040,ACCESS COMMUNITY HEALTH NETWORK,ACCESS COMMUNITY HEALTH NETWORK,0,0,1386,0,0,0,0,0,1386,1386,1386,1386,1386,1386,1386,1386,546,1386,1386,1386,284,1386,1386,1386,655,851,55,1386,1386,1386,1386,152,1386,851,0,0,0,1386
22683,27061,ACI WORLDWIDE,ACI WORLDWIDE,0,0,2494,0,0,0,0,0,2494,2494,2494,2494,2492,2494,2494,2494,1513,2494,2494,2494,149,2494,2494,2494,1025,1173,116,2494,2494,2494,2494,224,2494,1173,0,0,0,2493
22695,27074,ACTIONET,ACTIONET,0,0,247,0,0,0,0,0,247,247,247,247,247,247,247,247,148,247,247,247,27,247,247,247,49,127,8,247,247,247,247,24,247,127,0,0,0,247
22697,27076,Enerpac Tool Group Corp.,Enerpac Tool Group Corp.,0,0,771,0,0,0,0,0,771,771,771,771,771,771,771,771,422,771,771,771,3,771,771,771,487,369,36,771,771,771,771,66,771,369,0,0,0,771
22720,27103,ADVANCED ENERGY IND,ADVANCED ENERGY IND,0,0,1743,0,0,0,0,0,1743,1743,1743,1743,1743,1743,1743,1743,665,1743,1743,1743,198,1743,1743,1743,914,1383,70,1743,1743,1743,1743,166,1743,1383,0,0,0,1743
22734,27117,"Dentsu International Americas, LLC","Dentsu International Americas, LLC.",0,0,10439,0,0,0,0,0,10439,10439,10439,10439,10439,10439,10439,10439,4985,10439,10439,10439,1429,10439,10439,10439,5057,9241,92,10439,10439,10439,10439,454,10439,9241,0,0,0,10439
22734,48189,Dentsu International Americas - Opt Outs,"Dentsu International Americas, LLC.",0,0,0,0,0,0,0,0,1440,1440,1440,1440,1404,1440,1440,1440,427,1440,1440,1440,161,1440,1440,1438,327,1440,0,0,1440,1440,1440,0,1440,1440,0,0,0,1440
22745,27129,AFL CIO Health & Welfare Fund,AFL CIO Health & Welfare Fund,0,0,2666,0,0,0,0,0,2666,2666,2666,2666,1995,2666,2666,2666,2265,2666,2666,2666,17,2666,2666,2666,2123,1345,200,2666,2666,2666,2666,607,2666,1345,0,0,0,2666
22754,27143,AGFA CORPORATION,AGFA CORPORATION,0,0,985,0,0,0,0,0,985,985,985,985,985,985,985,985,747,985,985,985,32,985,985,985,706,554,75,985,985,985,985,117,985,554,0,0,0,985
22793,27185,ALDEN MANAGEMENT SERVICES INC,ALDEN MANAGEMENT SERVICES INC,0,0,1782,0,0,0,0,0,1782,1782,1782,1782,1772,1782,1782,1782,1178,1782,1782,1782,266,1782,1782,1782,1457,1005,62,1782,1782,1782,1782,128,1782,1005,0,0,0,1782
22828,27232,Allied Mineral Products,ALLIED MINERAL PRODUCTS,0,0,644,0,0,0,0,0,644,644,644,644,643,644,644,644,448,644,644,644,41,644,644,644,396,424,13,644,644,644,644,82,644,424,0,0,0,644
22860,27268,American Movie Channel,American Movie Channel,0,0,1724,0,0,0,0,0,1724,1724,1724,1724,1723,1724,1724,1724,633,1724,1724,1724,399,1724,1724,1724,1581,936,16,1724,1724,1724,1724,135,1724,936,0,0,0,1724
22872,27282,American Chemical Society,AMERICAN CHEMICAL SOCIETY,0,0,3677,0,0,0,0,0,3677,3677,3677,3677,3663,3677,3677,3677,2424,3677,3677,3677,268,3677,3677,3677,2918,2083,200,3677,3677,3677,3677,399,3677,2083,0,0,0,3677
22883,27296,AMERICAN FOOD AND VENDING,AMERICAN FOOD AND VENDING,0,0,495,0,0,0,0,0,495,495,495,495,493,495,495,495,309,495,495,495,62,495,495,495,142,291,8,495,495,495,495,17,495,291,0,0,0,495
22943,42702,Anschutz Entertainment Group,Anschutz Entertainment Group,0,0,4372,0,0,0,0,0,4372,4372,4372,4372,4368,4372,4372,4372,2537,4372,4372,4372,1162,4372,4372,4372,2712,2622,63,4372,4372,4372,4372,291,4372,2622,0,0,0,4372
22993,27436,ARCHDIOCESE OF OMAHA,ARCHDIOCESE OF OMAHA,0,0,2076,0,0,0,0,0,2076,2076,2076,2076,2070,2076,2076,2076,892,2076,2076,2076,144,2076,2076,2076,1182,1766,66,2076,2076,2076,2076,194,2076,1766,0,0,0,2076
22994,27437,ARCHDIOCESE OF ST LOUIS,ARCHDIOCESE OF ST LOUIS,0,0,6441,0,0,0,0,0,6441,6441,6441,6441,6432,6441,6441,6441,5367,6441,6441,6441,144,6440,6441,6441,5524,2940,390,6441,6441,6441,6441,883,6441,2940,0,0,0,6441
23040,27489,Ascom US Inc,Ascom US Inc New,0,0,423,0,0,0,0,0,423,423,423,423,422,423,423,423,257,423,423,423,52,423,423,423,234,215,21,423,423,423,423,73,423,215,0,0,0,423
23147,27619,Balchem Corporation,BALCHEM CORPORATION,0,0,2003,0,0,0,0,0,2003,2003,2003,2003,2002,2003,2003,2003,779,2003,2003,2003,113,2003,2003,2003,646,786,62,2003,2003,2003,2003,247,2003,786,0,0,0,2003
23154,27627,Popular Bank,Popular Bank,0,0,1354,0,0,0,0,0,1354,1354,1354,1354,1350,1354,1354,1354,352,1354,1354,1354,230,1354,1354,1354,595,671,43,1354,1354,1354,1354,146,1354,671,0,0,0,1354
23156,42658,B and H Photo,B AND H FOTO AND ELECTRONICS CORP,0,0,4316,0,0,0,0,0,4316,4316,4316,4316,4303,4316,4316,4316,1552,4316,4316,4316,262,4315,4316,4316,2907,1684,155,4316,4316,4316,4316,294,4316,1684,0,0,0,4316
23214,27695,BELLEVILLE SHOE MANUFACTURING COMPANY,BELLEVILLE SHOE MANUFACTURING COMPANY,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1
23222,27707,BEN E KEITH COMPANY,BEN E KEITH COMPANY,0,0,10208,0,0,0,0,0,10208,10208,10208,10208,10203,10208,10208,10208,6200,10208,10208,10208,566,10206,10208,10208,6339,4906,190,10208,10208,10208,10208,791,10208,4906,0,0,0,10208
23226,27711,BENCO DENTAL COMPANY,BENCO DENTAL COMPANY,0,0,2132,0,0,0,0,0,2132,2132,2132,2132,2116,2132,2132,2132,1252,2132,2132,2132,49,2132,2132,2132,2077,1161,58,2132,2132,2132,2132,204,2132,1161,0,0,0,2132
23226,42359,BENCO DENTAL COMPANY- Direct,BENCO DENTAL COMPANY,0,0,0,0,0,0,0,0,1493,1493,1493,1493,0,1493,1493,1493,981,1493,1493,1493,40,1493,1493,1493,0,1493,0,0,1493,1493,1493,0,1493,1493,0,0,0,1493
23255,51361,BETHPAGE FEDERAL CREDIT UNION,BETHPAGE FEDERAL CREDIT UNION,0,0,1053,0,0,0,0,0,1053,1053,1053,1053,1049,1053,1053,1053,490,1053,1053,1053,85,1053,1053,1053,728,614,35,1053,1053,1053,1053,96,1053,614,0,0,0,1053
23294,27796,BLUEPEARL MANAGEMENT LLC,BLUEPEARL MANAGEMENT LLC,0,0,6491,0,0,0,0,0,6491,6491,6491,6491,6489,6491,6491,6491,3304,6491,6491,6491,896,6491,6491,6491,3944,4678,59,6491,6491,6491,6491,260,6491,4678,0,0,0,6490
23380,27901,BROWN AND JAMES P C,BROWN AND JAMES P C,0,0,219,0,0,0,0,0,219,219,219,219,196,219,219,219,160,219,219,219,4,219,219,219,112,125,12,219,219,219,219,24,219,125,0,0,0,219
23383,27904,BROWN COUNTY SCHOOL CONSORTIUM,BROWN COUNTY SCHOOL CONSORTIUM,0,0,2598,0,0,0,0,0,2598,2598,2598,2598,2159,2598,2598,2598,1937,2598,2598,2598,43,2598,2598,2598,1268,1206,130,2598,2598,2598,2598,392,2598,1207,0,0,0,2598
23387,27908,BRP US INC,BRP US INC,0,0,1329,0,0,0,0,0,1329,1329,1329,1329,1319,1329,1329,1329,669,1329,1329,1329,129,1329,1329,1329,559,692,32,1329,1329,1329,1329,117,1329,692,0,0,0,1329
23403,27925,The Buckeye Ranch,The Buckeye Ranch,0,0,853,0,0,0,0,0,853,853,853,853,850,853,853,853,667,853,853,853,75,853,853,853,572,501,17,853,853,853,853,83,853,501,0,0,0,853
23428,27953,Covetrus,Covetrus,0,0,2578,0,0,0,0,0,2578,2578,2578,2578,2578,2578,2578,2578,1210,2578,2578,2578,1,2578,2578,2578,2304,1706,47,2578,2578,2578,2578,172,2578,1706,0,0,0,2578
23477,28009,CANAAN LEASING LLC,CANAAN LEASING LLC,0,0,161,0,0,0,0,0,161,161,161,161,161,161,161,161,144,161,161,161,0,161,161,161,88,81,12,161,161,161,161,17,161,81,0,0,0,161
23480,28015,CANNON COCHRAN MANAGEMENT SERVICES INC,CANNON COCHRAN MANAGEMENT SERVICES INC,0,0,2298,0,0,0,0,0,2298,2298,2298,2298,2284,2298,2298,2298,1740,2298,2298,2298,179,2298,2298,2298,658,1251,118,2298,2298,2298,2298,252,2298,1251,0,0,0,2298
23516,38752,Caresource Management Group,CARESOURCE MANAGEMENT GROUP,0,0,7949,0,0,0,0,0,7949,7949,7949,7949,7948,7949,7949,7949,5360,7949,7949,7949,313,7949,7949,7949,7438,4058,175,7949,7949,7949,7949,748,7949,4058,0,0,0,7949
23573,48124,Catoosa County Government,Catoosa County Government,0,0,857,0,0,0,0,0,857,857,857,857,855,857,857,857,673,857,857,857,18,857,857,857,463,392,21,857,857,857,857,81,857,392,0,0,0,857
23579,28134,CBL & ASSOCIATES MANAGEMENT INC,CBL & ASSOCIATES MANAGEMENT INC,0,0,624,0,0,0,0,0,624,624,624,624,624,624,624,624,479,624,624,624,15,624,624,624,504,390,35,624,624,624,624,70,624,390,0,0,0,624
23589,28145,Sierra-Cedar Companies LLC,Sierra-Cedar Companies LLC,0,0,488,0,0,0,0,0,488,488,488,488,488,488,488,488,120,488,488,488,29,488,488,488,487,488,15,488,488,488,488,42,488,488,0,0,0,488
23592,28148,Celebration Restaurant Group,CELEBRATION RESTAURANT GROUP,0,0,327,0,0,0,0,0,327,327,327,327,327,327,327,327,218,327,327,327,55,327,327,327,259,253,10,327,327,327,327,22,327,253,0,0,0,327
23594,28150,Sofidel America Corp,Sofidel America Corp,0,0,2599,0,0,0,0,0,2599,2599,2599,2599,2597,2599,2599,2599,1688,2599,2599,2599,301,2599,2599,2599,243,1121,51,2599,2599,2599,2599,298,2599,1121,0,0,0,2599
23629,39535,CENTURION INVESTMENTS INC DBA AVMATS,CENTURION INVESTMENTS INC DBA AVMATS,0,0,371,0,0,0,0,0,371,371,371,371,366,371,371,371,328,371,371,371,0,371,371,371,286,183,8,371,371,371,371,31,371,183,0,0,0,371
23668,28236,Chelsea Piers,Chelsea Piers,0,0,526,0,0,0,0,0,526,526,526,526,515,526,526,526,188,526,526,526,140,526,526,526,399,390,12,526,526,526,526,31,526,390,0,0,0,526
23704,49546,CHILLICOTHE CITY SCHOOL DISTRICT,CHILLICOTHE CITY SCHOOL DISTRICT,0,0,443,0,0,0,0,0,443,443,443,443,304,443,443,443,343,443,443,443,4,443,443,443,172,197,6,443,443,443,443,34,443,197,0,0,0,443
23729,28304,CITY AND COUNTY OF DENVER,CITY AND COUNTY OF DENVER,0,0,10726,0,0,0,0,0,10726,10726,10726,10726,10702,10726,10726,10726,5248,10726,10726,10726,766,10726,10726,10726,10023,5781,206,10726,10726,10726,10726,969,10726,5781,0,0,0,10726
23733,51417,CITY OF ALTON,CITY OF ALTON,0,0,663,0,0,0,0,0,663,663,663,663,628,663,663,663,430,663,663,663,5,663,663,663,65,283,17,663,663,663,663,93,663,283,0,0,0,663
23747,48443,CITY OF BLUE ASH,CITY OF BLUE ASH,0,0,396,0,0,0,0,0,396,396,396,396,346,396,396,396,364,396,396,396,8,396,396,396,351,186,3,396,396,396,396,69,396,186,0,0,0,396
23762,28342,CITY OF CRANSTON,CITY OF CRANSTON,0,0,197,0,0,0,0,0,197,197,197,197,196,197,197,197,147,197,197,197,5,197,197,197,123,74,13,197,197,197,197,26,197,74,0,0,0,197
23767,28349,CITY OF DUBLIN,CITY OF DUBLIN,0,0,1029,0,0,0,0,0,1029,1029,1029,1029,809,1029,1029,1029,567,1029,1029,1029,18,1029,1029,1029,852,572,30,1029,1029,1029,1029,155,1029,572,0,0,0,1029
23773,28357,City of Fairborn,CITY OF FAIRBORN,0,0,569,0,0,0,0,0,569,569,569,569,460,569,569,569,252,569,569,569,12,569,569,569,227,283,9,569,569,569,569,78,569,283,0,0,0,569
23776,28360,City of Fayetteville,CITY OF FAYETTEVILLE,0,0,2630,0,0,0,0,0,2630,2630,2630,2630,2057,2630,2630,2630,2169,2630,2630,2630,150,2630,2630,2630,1907,1423,67,2630,2630,2630,2630,297,2630,1423,0,0,0,2630
23786,28372,City of Greensboro,CITY OF GREENSBORO,0,0,6525,0,0,0,0,0,6525,6525,6525,6525,6523,6525,6525,6525,5856,6525,6525,6525,173,6525,6525,6525,4162,3176,184,6525,6525,6525,6525,616,6525,3176,0,0,0,6525
23788,43126,City of Hamilton,City of Hamilton,0,0,1207,0,0,0,0,0,1207,1207,1207,1207,1207,1207,1207,1207,907,1207,1207,1207,34,1207,1207,1207,812,537,32,1207,1207,1207,1207,125,1207,537,0,0,0,1207
23790,28376,CITY OF HIALEAH,CITY OF HIALEAH,0,0,940,0,0,0,0,0,940,940,940,940,931,940,940,940,377,940,940,940,102,940,940,940,681,547,291,940,940,940,940,396,940,548,0,0,0,940
23801,28388,City of Kettering,City of Kettering,0,0,1147,0,0,0,0,0,1147,1147,1147,1147,1146,1147,1147,1147,832,1147,1147,1147,16,1147,1147,1147,121,482,12,1147,1147,1147,1147,116,1147,482,0,0,0,1147
23820,28411,CITY OF MILWAUKEE,CITY OF MILWAUKEE,0,0,17942,0,0,0,0,0,17942,17942,17942,17942,17831,17942,17942,17942,14391,17942,17942,17942,301,17942,17942,17942,15283,9009,1657,17942,17942,17942,17942,2829,17942,9010,0,0,0,17942
23835,49234,City of Plantation,City of Plantation,0,0,1948,0,0,0,0,0,1948,1948,1948,1948,1777,1948,1948,1948,722,1948,1948,1948,66,1948,1948,1948,1402,973,106,1948,1948,1948,1948,222,1948,973,0,0,0,1948
23855,28451,CITY OF ST PETERSBURG,CITY OF ST PETERSBURG,0,0,7271,0,0,0,0,0,7271,7271,7271,7271,7266,7271,7271,7271,6062,7271,7271,7271,507,7271,7271,7271,2924,3635,1262,7271,7271,7271,7271,1776,7271,3635,0,0,0,7271
